Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
.NET 6: First Look,"Curious about what the release of .NET 6 means for developers? Join instructor Matt Milner as he goes over the most notable updates and new features in this long-term support (LTS) release. This LTS release—the first to include the unified .NET platform—includes changes that enhance the web, desktop, and cross-platform application development experience. Learn about the .NET Multi-Application User Interface (.NET MAUI), which enables cross-platform UI definition with native rendering. Discover what's new in C#, ASP.NET, and Blazor. Learn about new features in Entity Framework (EF) and what you and your team need to do to prepare your applications for .NET 6.",Course,2022-04-12 04:45 UTC,N/A,false,N/A,
JavaScript: Classes,"The release of ECMAScript 2015 brought class syntax to JavaScript, providing developers used to class inheritance with some familiar tools. If you're new to the language—or just unsure how classes work in ECMAScript 6 (ES6)—then this course is for you. Join instructor Emmanuel Henri as he explains how classes work in ES6. He starts with the foundations of classes and how they interact with other JavaScript features. He then goes over constructors, mixins, and extends, explaining how they work and sharing code examples.",Course,2020-05-16 13:43 UTC,N/A,false,N/A,
How to Perform Business Analysis in a Virtual Environment,"Taking your business analysis work from the office to a virtual space can seem like a big leap. But the skills you developed in your physical workplace can also help you excel in a virtual one. In this course, join instructor Jamie Champagne as she shows how to conduct analysis in virtual environments. Using practical examples, she explains how to tailor your analysis techniques and approaches to be successful in these new digital domains. Jaime walks through how to successfully plan, execute, and utilize outputs of valuable analysis techniques including process modeling, context modeling, brainstorming, prioritization, decision modeling, data modeling,  and virtual prototyping. Upon wrapping up this course, you'll have the knowledge you need to perform analysis when working in a remote or virtual environment with the same success as you would in person.",Course,2021-05-14 05:45 UTC,N/A,false,N/A,
Building Tools with Python,"Tools aren't the flashiest, most attention-grabbing type of software. But a great tool—one that successfully automates or enhances a repetitive process—gives valuable time back to your colleagues, allowing them to spend less time clicking buttons and more time on thoughtful projects. Tool development exists in a space between IT support and software engineering, and if you’re tasked with creating tools, there are some important principles to keep in mind. In this course, Scott Simpson discusses designing for end users, craftsmanship, and trust as they relate to building small software utilities. He surveys concepts related to tool development, and uses Python to explore ideas that you’ll want to keep in mind when developing tools for your users.",Course,2022-03-07 10:45 UTC,N/A,false,N/A,
React: Using TypeScript,"TypeScript offers developers a more structured approach to JavaScript application development, and is a natural fit for the build processes most React developers are already using. Combining the component approach in React with the discipline of TypeScript enables you to build clean web applications that will be easier to maintain over time. In this course, instructor Emmanuel Henri explains shows how to use TypeScript with React. He starts with a review of basic and complex types and functional and stateful components. Then he shows how to use TypeScript interfaces to improve your React code. Finally, learn how to implement higher-order components to reuse components while adding new functionality.",Course,2020-11-02 06:32 UTC,N/A,false,N/A,
JavaScript Code Challenges,"Want to put your JavaScript skills to the test? Welcome to <i>JavaScript Code Challenges</i>! Join instructor Emma Bostian as she serves up over a dozen JavaScript tasks and walks through the solutions for each. Emma frames each challenge using real-world examples, like setting up a ticking clock in a document, filtering vegetarian dinner options from a menu, and calculating the bill from a trip to a coffee shop. Each challenge is self-contained, so you can watch them in any order, and most solutions are less than two dozen lines of code, so you can quickly learn what you need and move on to the next lesson. Whether you want to learn new ways to use JavaScript or test your existing knowledge, this course can help you sharpen your skills.",Course,2021-07-26 07:17 UTC,N/A,false,N/A,
SQL Server Machine Learning Services: Python,"Learn how to analyze SQL Server data with Python. Database expert Adam Wilbert shows how to use a powerful combination of tools, including high-performance Python libraries and the Machine Learning Services add-on, directly inside SQL Server to streamline analysis. Adam shows how to use Python scripts to perform statistical analysis, generate graphics such as scatterplots and bar charts, and process tabular data. He also explains how to turn a Python script into a stored procedure and set up standalone ML services to execute scripts without impacting SQL Server performance.",Course,2021-05-28 13:21 UTC,N/A,false,N/A,
Project Management Foundations: Risk (2018),"<div><a href=""https://www.linkedin.com/newsletters/6823002513667706880?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Bob's LinkedIn Newsletter</a></div><br>If not managed properly, risk reduces your ability to achieve your project's goals. It may even derail your project altogether. In this course, author and PMP Bob McGannon shows you how to anticipate, assess, and manage risk—one of the 10 foundational knowledge areas of the Project Management Body of Knowledge. Discover how to create a risk management plan, identify and categorize risks, perform qualitative and quantitative risk analysis, build a response plan, and monitor and control risks as they occur, all while keeping your project on budget and on track.<br><br>

Note: This course follows the latest guidance from Project Management Institute, Inc., as outlined the PMBOK® 6 Guide.",Course,2021-09-29 12:46 UTC,N/A,false,N/A,
Figure Drawing: Tonal Rendering,"How can you make a good figure drawing into a great figure drawing? Give it drama with tonal rendering. This course—taught on the iPad Pro—provides you with step-by-step demonstrations that can help you enhance the dimensionality and drama of your figure drawings using tonal rendering techniques. Instructor Amy Wynne starts by demonstrating how to create a five-part tonal gradient, and then shows how to apply this to simple 3D geometric shapes such as an egg, a cylinder, and a block; these shapes serve as the building blocks for constructing your figures. Amy also shows how to build the figure from the inside out—from structure to tonality—and apply silhouette and camouflage using inspiring master drawings as examples. Upon completing this course, you'll be equipped with a few simple techniques that can help you add beautiful lights and shadows to your figure sketches.",Course,2020-11-24 05:46 UTC,N/A,false,N/A,
React: State Management,"Choosing the right state management solution can be tricky. Developers need to evaluate a variety of options—each with their own trade-offs—and select the right approach for their needs. In this course, instructor Sravanti Tekumalla helps you navigate this process, exploring the guiding principles behind state management for React applications. Sravanti digs into various state management solutions, as well as common issues you may encounter as your React application grows more complex. Throughout the course, she lends these concepts a real-world context by showing how to modify a simple book application. She also covers how to integrate React with state management systems like Redux and explores alternatives to Redux, such as MobX, and why they might be appealing.",Course,2020-05-20 03:33 UTC,N/A,false,N/A,
Building Modern Projects with React,"Learn about some of the most important tools in the React ecosystem that help you simplify development and manage the complexities of state, side effects, structure, and styling. Instructor Shaun Wassell shows how to create a basic React project, and then explains how to add Redux, create thunks, use selectors, work with styled-components, perform testing, and more.",Course,2021-05-21 06:47 UTC,N/A,false,N/A,
Learning AutoCAD,"Explore the basics of AutoCAD 2023 in this course designed for beginners. Learn about the interface, drawing and design techniques, generating simple geometry, creating annotations, and building documentation that is suitable for sharing and printing. Autodesk Certified Instructor (ACI) Shaun Bryant demonstrates step-by-step how to create precise drawings for architecture, construction, manufacturing, and more. The course offers foundational knowledge needed to create simple, annotated drawings and prepares the learner to further develop AutoCAD skills.",Course,2022-04-29 05:37 UTC,N/A,false,N/A,
Interactive Animations with CSS and JavaScript,"In a world without Flash, mixed-mode animation is a powerful tool for web designers. This course shows how to choose the correct mix of HTML, JavaScript, CSS, and other assets to deliver polished web-based animations that look great on everything from flat-screen televisions to smartphones. Instructor W. Scott Means focuses on how CSS animations, JavaScript, and SVG can be used to produce sophisticated effects while keeping code complexity to a minimum. As he steps through how to build a dynamic presentation, he covers storyboarding, HTML5 custom elements, working with SVG, DOM manipulation, and more.",Course,2020-05-02 06:02 UTC,N/A,false,N/A,
C# Algorithms,"Algorithms are one of the fundamental pillars in every software application, and once you understand them, you can create more efficient and maintainable programs. In this course, instructor Kathryn Hodge shows you how to create better C# programs by using efficient algorithms. Kathryn discusses what makes an algorithm effective, as well as how to make informed assumptions about your data to create better algorithms. She focuses on how to create efficient algorithms to work with different types of data, including strings, arrays, linked lists, queues, stacks, hash-based structures, and trees. Many algorithms are built into the C# language, and Kathryn covers how to use these to create your own custom algorithms, so you can work with your data exactly the way you want. She also dives into how to leverage different data structures to create better algorithms in analyzing or manipulating their data.",Course,2022-04-05 04:02 UTC,N/A,false,N/A,
Python Essential Training (2018),"Due to its power and simplicity, Python has become the scripting language of choice for many large organizations, including Google, Yahoo, and IBM. A thorough understanding of Python 3, the latest version, will help you write more efficient and effective scripts. In this course, Bill Weinman demonstrates how to use Python 3 to create well-designed scripts and maintain existing projects. This course covers the basics of the language syntax and usage, as well as advanced features such as objects, generators, and exceptions. Learn how types and values are related to objects; how to use control statements, loops, and functions; and how to work with generators and decorators. Bill also introduces the Python module system and shows examples of Python scripting at work in a real-world application.",Course,2020-12-25 06:44 UTC,N/A,false,N/A,
Java Object-Oriented Programming,"Are you familiar with Java but want to get the most out of your Java programs? In this course, Kathryn Hodge teaches the basics of object-oriented programming in Java, so you can write code that’s secure, scalable, and easier to troubleshoot. Kathryn begins by showing how object-oriented principles are embedded into the Java language from the first code file you create. She looks at how classes, instances, and constructors embody the idea of representing real-life objects in code. Kathryn not only shows how to apply object-oriented principles in your own programs, but also explains how Java leverages these principles behind the scenes. While many resources about object-oriented programming focus on abstract examples, the goal of this course is to get away from the abstract and focus more on practical examples of these principles in Java. Along with deep dives into the source code, this course also provides several challenges and solutions to help you apply what you’ve learned.",Course,2021-10-05 19:33 UTC,N/A,false,N/A,
Learning Bash Scripting (2013),"Bash, or the Bourne Again Shell, is a widely popular command-line interpreter for administration and programming tasks. It's also the default option on Mac OS X and Linux. But Bash is different than most scripting languages. That's why Scott Simpson spends some time in this course running you through the syntax—introducing variables, numbers, and control structures—so you can start writing scripts right away. He shows you how to wrap up multiline operations in one file, implement flow control, and interact with users to get input. Plus, he offers challenges along the way that allow you to put what you've learned to the test.",Course,2020-11-20 14:18 UTC,N/A,false,N/A,
What Is a PMO?,Many businesspeople still don’t understand what a project management office (PMO) is or what it does. Learn about the purpose of a PMO and why it is so important to the success of a modern business in this course with PMP Andy Jordan. Andy compares the different PMO models and identifies the roles a PMO plays in business planning and strategy execution. This brief course can help you apply the concept of a PMO to your own business and identify opportunities to optimize project delivery and achieve better results.,Course,2022-09-18 11:36 UTC,N/A,false,N/A,
Azure for Architects: Design a Networking Strategy,"Learn about designing a network strategy with Microsoft Azure and prepare for the networking portion of Exam AZ-301: Microsoft Azure Architect Design. Instructor Scott Duffy begins with a brief overview of Azure and a review of networking fundamentals, then discusses specific networking tools inside Azure. Scott covers network and application security groups, how to manage networking using the command line, PowerShell, the Azure portal, and more.",Course,2022-10-21 03:35 UTC,N/A,false,N/A,
React.js: Building an Interface (2019),"React.js is a JavaScript library for creating user interfaces that display dynamic data. Because of its reusable components and unique data-rendering approach, the interfaces you create with React are flexible, fast, and lightweight. Need another reason to choose React? It's also easy to learn, with these lessons from staff author Ray Villalobos. Join Ray in this practical, hands-on course, featuring a realistic sample project that showcases the strengths of React: an online appointment scheduling tool. Along the way, you can learn key React skills, including handling events, breaking code into custom subcomponents, managing data through props, and setting up sorting and search.",Course,2020-04-01 15:30 UTC,N/A,false,N/A,
DevOps with AWS,"DevOps describes a culture and set of processes that bring development and operations teams together to simplify software development. It allows organizations to create and improve products at a faster pace than they can deliver with traditional software development approaches. And it’s gaining in popularity at a rapid rate. In this course, programmer Dipali Kulshrestha covers the concepts of DevOps with hands-on demos to create and automate CI/CD (continuous implementation and continuous delivery) pipelines. She covers AWS services like CodeCommit, CodeBuild, CodeDeploy, and CodePipeline, and how to implement DevOps with AWS offerings to increase security, scalability, reliability, and simplicity of the development processes.",Course,2022-01-22 10:53 UTC,N/A,false,N/A,
Learning VMware vSAN,"vSAN is a popular software-defined storage solution from the leading virtualization company, VMware. This training course provide complete coverage of vSAN, including conceptual lessons and hands-on demos using the free labs at VMware.com. You can learn how to configure, monitor, and manage vSAN, and explore the different vSAN architecture options. VMware Certified Instructor Rick Crisci also covers important operations and maintenance considerations, such as high-availability configuration and vSAN recovery procedures. Plus, review popular deployment options: two-node clusters and stretched vSAN clusters.",Course,2020-11-03 10:22 UTC,N/A,false,N/A,
Introduction to Spark SQL and DataFrames,"Explore DataFrames, a widely used data structure in Apache Spark. DataFrames allow Spark developers to perform common data operations, such as filtering and aggregation, as well as advanced data analysis on large collections of distributed data. With the addition of Spark SQL, developers have access to an even more popular and powerful query language than the built-in DataFrames API. In this course, instructor Dan Sullivan shows how to perform basic operations—loading, filtering, and aggregating data in DataFrames—with the API and SQL, as well as more advanced techniques that are easily performed in SQL. In this section of the course, Dan explains how to join data, eliminate duplicates, and deal with null or NA values. The lessons conclude with three in-depth examples of using DataFrames for data science: exploratory data analysis, time series analysis, and machine learning.",Course,2022-03-30 12:48 UTC,N/A,false,N/A,
